Ticker,Description,Exchange,Market Capitalization,Sector
COUP,Coupa Software Incorporated,NASDAQ,18073995010.710384,Technology Services
COWN,Cowen Inc.,NASDAQ,1034662707.4751424,Finance
CP,Canadian Pacific Railway Limited,NYSE,50615588146.2694,Transportation
CPA,"Copa Holdings, S.A. Copa Holdings, S.A.",NYSE,3313955558.8423796,Transportation
CPB,Campbell Soup Company,NYSE,13719141611.087986,Consumer Non-Durables
CPE,Callon Petroleum Company,NYSE,2222101768.852261,Energy Minerals
CPF,Central Pacific Financial Corp New,NYSE,743527690.3466667,Finance
CPG,Crescent Point Energy Corporation,NYSE,2448848332.050847,Energy Minerals
CPLP,Capital Product Partners L.P.,NASDAQ,238284177.50458717,Transportation
CPNG,"Coupang, Inc.",NYSE,68280196385.90007,Retail Trade
CPRI,Capri Holdings Limited,NYSE,7909862892.777756,Retail Trade
CPRT,"Copart, Inc.",NASDAQ,30315171552.399784,Commercial Services
CPRX,"Catalyst Pharmaceuticals, Inc.",NASDAQ,592276194.0000001,Health Technology
CPS,Cooper-Standard Holdings Inc.,NYSE,488463201.01299137,Producer Manufacturing
CPSH,CPS Technologies Corp.,NASDAQ,108959027.6562108,Producer Manufacturing
CPSI,"Computer Programs and Systems, Inc.",NASDAQ,492532078.9662122,Technology Services
CQP,"Cheniere Energy Partners, LP",NYSE ARCA,20987155031.408012,Industrial Services
CR,Crane Co.,NYSE,5052338064.072063,Producer Manufacturing
CRC,California Resources Corporation,NYSE,2715387574.670257,Energy Minerals
CRCT,"Cricut, Inc.",NASDAQ,7903244874.288554,Distribution Services
CRDF,"Cardiff Oncology, Inc.",NASDAQ,300417028.57142854,Health Services
CREE,"Cree, Inc.",NASDAQ,10512458824.269684,Electronic Technology
CREG,China Recycling Energy Corporation,NASDAQ,55229886.09480814,Producer Manufacturing
CREX,"Creative Realities, Inc.",NASDAQ,24301673.078602616,Technology Services
CRHC,Cohn Robbins Holdings Corp.,NYSE,1015335069.7157362,Finance
CRI,"Carter's, Inc.",NYSE,4509975618.2072935,Retail Trade
CRIS,"Curis, Inc.",NASDAQ,690175951.5124509,Health Technology
CRK,"Comstock Resources, Inc.",NYSE,1431646960.0125,Energy Minerals
CRKN,Crown Electrokinetics Corp.,NASDAQ,59640721.00238664,Commercial Services
CRL,"Charles River Laboratories International, Inc.",NYSE,17774419343.05467,Commercial Services
CRM,Salesforce.com Inc,NYSE,224814273263.78122,Technology Services
CRMD,CorMedix Inc.,NASDAQ,293013511.5796178,Health Technology
CRNC,Cerence Inc.,NASDAQ,4127768375.081828,Technology Services
CRNT,Ceragon Networks Ltd.,NASDAQ,315194380.86315787,Electronic Technology
CRNX,"Crinetics Pharmaceuticals, Inc.",NASDAQ,795099853.8252074,Health Technology
CRON,Cronos Group Inc. Common Share,NASDAQ,3103332602.1226416,Process Industries
CROX,"Crocs, Inc.",NASDAQ,6816579940.504575,Consumer Non-Durables
CRS,Carpenter Technology Corporation,NYSE,1936665696.3387094,Non-Energy Minerals
CRSA,Crescent Acquisition Corp,NASDAQ,284888389.03294367,Finance
CRSP,CRISPR Therapeutics AG,NASDAQ,9685542853.12721,Health Technology
CRSR,"Corsair Gaming, Inc.",NASDAQ,2943545292.021476,Technology Services
CRTD,Creatd Inc.,NASDAQ,37922567.43783784,Technology Services
CRTX,"Cortexyme, Inc.",NASDAQ,1588901371.0104532,Health Technology
CRU,Crucible Acquisition Corporation,NYSE,313410938.99691033,Finance
CRUS,"Cirrus Logic, Inc.",NASDAQ,4570967538.754037,Electronic Technology
CRVS,"Corvus Pharmaceuticals, Inc.",NASDAQ,104585073.46402879,Health Technology
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,55303277612.42385,Technology Services
CRY,"CryoLife, Inc.",NYSE,1112729393.777479,Health Technology
CSCO,"Cisco Systems, Inc.",NASDAQ,219433637404.95386,Technology Services
CSGP,"CoStar Group, Inc.",NASDAQ,34712856242.176956,Technology Services
CSGS,"CSG Systems International, Inc.",NASDAQ,1493176352.5576384,Technology Services
CSII,"Cardiovascular Systems, Inc.",NASDAQ,1673150547.6277268,Health Technology
CSIQ,Canadian Solar Inc.,NASDAQ,2353525320.600304,Producer Manufacturing
CSL,Carlisle Companies Incorporated,NYSE,9342343689.380045,Producer Manufacturing
CSLT,"Castlight Health, Inc.",NYSE,330050174.2,Technology Services
CSOD,"Cornerstone OnDemand, Inc.",NASDAQ,3376840550.5901155,Technology Services
CSPR,Casper Sleep Inc.,NYSE,367990221.8058691,Consumer Durables
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",NASDAQ,555533126.6233077,Consumer Services
CSTE,Caesarstone Ltd.,NASDAQ,502405107.60053796,Non-Energy Minerals
CSTL,"Castle Biosciences, Inc.",NASDAQ,1840643829.369251,Health Services
CSTM,Constellium SE,NYSE,2605089929.2807555,Commercial Services
CSTR,"CapStar Financial Holdings, Inc.",NASDAQ,447416416.6548798,Finance
CSV,"Carriage Services, Inc.",NYSE,667789073.7261147,Consumer Services
CSWC,Capital Southwest Corporation,NASDAQ,517391342.45826775,Finance
CSWI,"CSW Industrials, Inc.",NASDAQ,1805473167.417559,Process Industries
CSX,CSX Corporation,NASDAQ,71763669662.71687,Transportation
CTAC,Cerberus Telecom Acquisition Corp.,NYSE,330483911,Finance
CTAS,Cintas Corporation,NASDAQ,37279176013.85181,Consumer Services
CTG,"Computer Task Group, Incorporated",NASDAQ,147783238.4816369,Technology Services
CTHR,Charles & Colvard Ltd.,NASDAQ,81498553.49999999,Consumer Durables
CTIC,CTI BioPharma Corp.,NASDAQ,215481916.65000004,Health Technology
CTLP,"Cantaloupe, Inc.",NASDAQ,881069169.0842696,Electronic Technology
CTLT,"Catalent, Inc.",NYSE,18500795633.51067,Health Technology
CTMX,"CytomX Therapeutics, Inc.",NASDAQ,466779927.3193863,Health Technology
CTOS,"Custom Truck One Source, Inc.",NYSE,2224314684.9083066,Finance
CTRM,Castor Maritime Inc.,NASDAQ,264470188.5,Transportation
CTRN,"Citi Trends, Inc.",NASDAQ,721507451.46825,Retail Trade
CTS,CTS Corporation,NYSE,1149660681.828091,Electronic Technology
CTSH,Cognizant Technology Solutions Corporation,NASDAQ,36109320763.308945,Technology Services
CTSO,Cytosorbents Corporation,NASDAQ,332259016.5100755,Health Technology
CTVA,"Corteva, Inc.",NYSE,31481583058.20869,Process Industries
CTXR,"Citius Pharmaceuticals, Inc.",NASDAQ,499898874.47499996,Health Technology
CTXS,"Citrix Systems, Inc.",NASDAQ,14379785624.655914,Technology Services
CUBI,"Customers Bancorp, Inc",NYSE,1213211453.1037974,Finance
CUE,"Cue Biopharma, Inc.",NASDAQ,394859418.1532012,Health Technology
CUEN,"Cuentas, Inc.",NASDAQ,31531488.904761907,Technology Services
CURI,CuriosityStream Inc.,NASDAQ,663911599.2527027,Consumer Services
CURO,CURO Group Holdings Corp.,NYSE,676527654.505814,Finance
CUTR,"Cutera, Inc.",NASDAQ,836931912.55768,Health Technology
CVA,Covanta Holding Corporation,NYSE,2253889318.7667637,Industrial Services
CVAC,CureVac N.V.,NASDAQ,11534455899.716757,Health Technology
CVBF,CVB Financial Corporation,NASDAQ,2804008550.9083757,Finance
CVE,Cenovus Energy Inc,NYSE,19509322229.951546,Energy Minerals
CVET,"Covetrus, Inc.",NASDAQ,3447516525.9321904,Technology Services
CVGI,"Commercial Vehicle Group, Inc.",NASDAQ,355378621.10724103,Producer Manufacturing
CVGW,"Calavo Growers, Inc.",NASDAQ,1116209626.8094487,Consumer Non-Durables
CVI,CVR Energy Inc.,NYSE,1743200630.2443244,Energy Minerals
CVLG,"Covenant Logistics Group, Inc.",NASDAQ,337553041.72356564,Transportation
CVLT,"Commvault Systems, Inc.",NASDAQ,3578540123.90527,Technology Services
CVM,Cel-Sci Corporation,NYSE ARCA,942869447.1659693,Health Technology
CVNA,Carvana Co.,NYSE,50735786871.550476,Retail Trade
CVS,CVS Health Corporation,NYSE,108485196901.87343,Retail Trade
CVU,"CPI Aerostructures, Inc.",NYSE ARCA,41949886.49567723,Electronic Technology
CVX,Chevron Corporation,NYSE,199132175199.9622,Energy Minerals
CW,Curtiss-Wright Corporation,NYSE,4923641808.102803,Electronic Technology
CWCO,Consolidated Water Co. Ltd.,NASDAQ,188042240.50847456,Utilities
CWEN,"Clearway Energy, Inc.",NYSE,5323618841.525669,Utilities
CWEN.A,"Clearway Energy, Inc.",NYSE,5312862503.846153,Utilities
CWH,"Camping World Holdings, Inc.",NYSE,3247892921.0859523,Retail Trade
CWK,Cushman & Wakefield plc,NYSE,3927673056.739802,Finance
CWST,"Casella Waste Systems, Inc.",NASDAQ,3232282176.0711074,Industrial Services
CWT,California Water Service Group,NYSE,2849810063.5413322,Utilities
CYAN,Cyanotech Corporation,NASDAQ,18169278.315018315,Health Technology
CYBE,CyberOptics Corporation,NASDAQ,250368605.9022019,Electronic Technology
CYBR,CyberArk Software Ltd.,NASDAQ,5507110200.121402,Technology Services
CYCC,"Cyclacel Pharmaceuticals, Inc.",NASDAQ,57528505.80650406,Health Technology
CYCN,"Cyclerion Therapeutics, Inc.",NASDAQ,126980209.5978261,Health Technology
CYH,"Community Health Systems, Inc.",NYSE,1951701005.8000002,Health Services
CYRX,"CryoPort, Inc.",NASDAQ,2763271447.817798,Transportation
CYTH,"Cyclo Therapeutics, Inc.",NASDAQ,66765945.3125,Health Technology
CYTK,"Cytokinetics, Incorporated",NASDAQ,1528739884.227894,Health Technology
CZR,"Caesars Entertainment, Inc.",NASDAQ,20882384650.954063,Consumer Services
D,"Dominion Energy, Inc.",NYSE,60344146567.81844,Utilities
DAC,Danaos Corporation,NYSE,1482944146.1503968,Transportation
DAKT,"Daktronics, Inc.",NASDAQ,291194331.4475628,Electronic Technology
DAL,"Delta Air Lines, Inc.",NYSE,28758522205.016827,Transportation
DAN,Dana Incorporated,NYSE,3332491461.4938946,Producer Manufacturing
DAR,Darling Ingredients Inc.,NYSE,10163995338.902428,Process Industries
DASH,"DoorDash, Inc.",NYSE,54522445840.63317,Technology Services
DB,Deutsche Bank AG,NYSE,26696167772.28531,Finance
DBD,Diebold Nixdorf Incorporated,NYSE,1002103965.4110521,Electronic Technology
DBDR,Roman DBDR Tech Acquisition Corp.,NASDAQ,293502290.9732938,Finance
DBI,Designer Brands Inc.,NYSE,1135289362.148379,Retail Trade
DBTX,"Decibel Therapeutics, Inc.",NASDAQ,198219387.72914147,Health Technology
DBX,"Dropbox, Inc.",NASDAQ,11691282247.116741,Technology Services
DCBO,Docebo Inc.,NASDAQ,1762802464.481493,Technology Services
DCI,"Donaldson Company, Inc.",NYSE,7600386928.576178,Process Industries
DCO,Ducommun Incorporated,NYSE,623407282.9596584,Electronic Technology
DCOM,"Dime Community Bancshares, Inc.",NASDAQ,1369771501.5369287,Finance
DCP,"DCP Midstream, LP",NYSE,6019594811.527879,Industrial Services
DCPH,"Deciphera Pharmaceuticals, Inc.",NASDAQ,2165553602.362649,Health Technology
DCRB,Decarbonization Plus Acquisition Corporation,NASDAQ,295135465.5090048,Finance
DCT,"Duck Creek Technologies, Inc.",NASDAQ,5372776662.972972,Technology Services
DCTH,"Delcath Systems, Inc.",NASDAQ,65953730.35880708,Health Technology
DD,"DuPont de Nemours, Inc.",NYSE,40671637948.390854,Process Industries
DDD,3D Systems Corporation,NYSE,3495140816.8487253,Producer Manufacturing
DDOG,"Datadog, Inc.",NASDAQ,31843674980.52796,Technology Services
DDS,"Dillard's, Inc.",NYSE,3256355339.697108,Retail Trade
DE,Deere & Company,NYSE,102619596845.54794,Producer Manufacturing
DECK,Deckers Outdoor Corporation,NYSE,9049522760.872885,Consumer Non-Durables
DEH,D8 Holdings Corp.,NYSE,426937483.99999994,Finance
DELL,Dell Technologies Inc.,NYSE,75276941872.50697,Electronic Technology
DEN,Denbury Inc.,NYSE,3769423499.9725113,Energy Minerals
DENN,Denny's Corporation,NASDAQ,1058389969.9344457,Consumer Services
DESP,"Despegar.com, Corp.",NYSE,875474171.5059346,Consumer Services
DFH,"Dream Finders Homes, Inc.",NASDAQ,2262202510.520016,Technology Services
DFIN,"Donnelley Financial Solutions, Inc.",NYSE,981199372.7038962,Commercial Services
DFNS,LGL Systems Acquisition Corp.,NYSE,214546865.9909457,Finance
DFPH,DFP Healthcare Acquisitions Corp.,NASDAQ,290375005.0248756,Finance
DFS,Discover Financial Services,NYSE,34790718133.9264,Finance
DG,Dollar General Corporation,NYSE,50240907459.51847,Retail Trade
DGICA,"Donegal Group, Inc.",NASDAQ,454032388.36580515,Finance
DGII,Digi International Inc.,NASDAQ,649283123.2396525,Electronic Technology
DGNR,Dragoneer Growth Opportunities Corp.,NYSE,862499979.97998,Finance
DGNS,Dragoneer Growth Opportunities Corp. II,NASDAQ,364153144.86816406,Finance
DGNU,Dragoneer Growth Opportunities Corp. III,NASDAQ,544870007.3831123,Finance
DGX,Quest Diagnostics Incorporated,NYSE,16656358204.894995,Health Services
DHI,"D.R. Horton, Inc.",NYSE,32421888836.86868,Consumer Durables
DHR,Danaher Corporation,NYSE,183291261554.43918,Health Technology
DHT,"DHT Holdings, Inc.",NYSE,1087303595.3061225,Transportation
DHX,"DHI Group, Inc.",NYSE,151312327.2916667,Technology Services
DIN,"Dine Brands Global, Inc. Common Stock",NYSE,1472614404.4721344,Consumer Services
DIOD,Diodes Incorporated,NASDAQ,3346253676.846409,Electronic Technology
DIS,Walt Disney Company (The),NYSE,313275405670.356,Consumer Services
DISCA,"Discovery, Inc. - Series A",NASDAQ,14380995228.0272,Consumer Services
DISCB,"Discovery, Inc. - Series B",NASDAQ,14522802325.057354,Consumer Services
DISCK,"Discovery, Inc. - Series C",NASDAQ,14360286693.805275,Consumer Services
DISH,DISH Network Corporation,NASDAQ,21114894865.204082,Consumer Services
DK,"Delek US Holdings, Inc.",NYSE,1528488691.4826288,Energy Minerals
DKL,"Delek Logistics Partners, L.P.",NYSE,1841563067.404291,Industrial Services
DKNG,DraftKings Inc.,NASDAQ,19271140693.27683,Technology Services
DKS,Dick's Sporting Goods Inc,NYSE,8186001863.460529,Retail Trade
DLB,Dolby Laboratories,NYSE,9927281624.86229,Consumer Services
DLCA,Deep Lake Capital Acquisition Corp.,NASDAQ,250470015,Finance
DLNG,Dynagas LNG Partners LP,NYSE,100071347.35277191,Transportation
DLPN,"Dolphin Entertainment, Inc.",NASDAQ,64070579.37091319,Consumer Services
DLTH,Duluth Holdings Inc.,NASDAQ,534968058.09118545,Retail Trade
DLTR,"Dollar Tree, Inc.",NASDAQ,23269613072.025425,Retail Trade
DLX,Deluxe Corporation,NYSE,1786392491.762797,Commercial Services
DM,"Desktop Metal, Inc.",NYSE,3215113456.991064,Electronic Technology
DMAC,DiaMedica Therapeutics Inc.,NASDAQ,149913526.31460676,Health Technology
DMLP,"Dorchester Minerals, L.P.",NASDAQ,565973941.5403882,Energy Minerals
DMRC,Digimarc Corporation,NASDAQ,527911834.0431925,Technology Services
DMS,"Digital Media Solutions, Inc.",NYSE,852029748.9902534,Commercial Services
DMTK,"DermTech, Inc.",NASDAQ,1283712630.1915286,Health Technology
DMYI,"dMY Technology Group, Inc. III",NYSE,385875015.96896213,Finance
DNB,"Dun & Bradstreet Holdings, Inc.",NYSE,9059595402.78311,Technology Services
DNLI,Denali Therapeutics Inc.,NASDAQ,8935501155.347548,Health Technology
DNMR,"Danimer Scientific, Inc.",NYSE,1944244925.7483022,Process Industries
DNOW,NOW Inc.,NYSE,1073883629.2679098,Distribution Services
DOCN,"DigitalOcean Holdings, Inc.",NYSE,5008482907.605878,Finance
DOCU,"DocuSign, Inc.",NASDAQ,53468601386.427765,Technology Services
DOMO,"Domo, Inc.",NASDAQ,2476498794.3414574,Technology Services
DOOO,BRP Inc.,NASDAQ,6380734397.0091095,Consumer Durables
DOOR,Masonite International Corporation,NYSE,2680878258.482342,Producer Manufacturing
DORM,"Dorman Products, Inc.",NASDAQ,3170400312.3109183,Consumer Durables
DOV,Dover Corporation,NYSE,20575840507.40286,Producer Manufacturing
DOW,Dow Inc.,NYSE,46298406215.372986,Process Industries
DOX,Amdocs Limited,NASDAQ,9937863579.718576,Technology Services
DPW,"Ault Global Holdings, Inc.",NYSE ARCA,136382241.2177122,Producer Manufacturing
DPZ,Domino's Pizza Inc,NYSE,17869907966.774235,Consumer Services
DRI,"Darden Restaurants, Inc.",NYSE,17022631400.82935,Consumer Services
DRIO,DarioHealth Corp.,NASDAQ,337132354.1696307,Health Technology
DRNA,"Dicerna Pharmaceuticals, Inc.",NASDAQ,2782245824.2806044,Health Technology
DRQ,"Dril-Quip, Inc.",NYSE,1284680808.353603,Industrial Services
DRTT,DIRTT Environmental Solutions Ltd.,NASDAQ,306595601.35,Consumer Durables
DRVN,Driven Brands Holdings Inc.,NASDAQ,4814764667.975493,Consumer Services
DS,Drive Shack Inc.,NYSE,316721424.22471905,Consumer Services
DSAC,Duddell Street Acquisition Corp.,NASDAQ,211968750.99794024,Finance
DSEY,"Diversey Holdings, Ltd.",NASDAQ,5347100738.159372,Consumer Non-Durables
DSGX,The Descartes Systems Group Inc.,NASDAQ,5549218853.428328,Technology Services
DSKE,"Daseke, Inc.",NASDAQ,436145604.90043294,Transportation
DSP,Viant Technology Inc.,NASDAQ,1733294831.04517,Technology Services
DSPG,"DSP Group, Inc.",NASDAQ,364370805.0687022,Electronic Technology
DSSI,Diamond S Shipping Inc.,NYSE,408971006.6916343,Transportation
DSX,Diana Shipping inc.,NYSE,459505728.37816757,Transportation
DT,"Dynatrace, Inc.",NYSE,16182469107.52896,Technology Services
DTE,DTE Energy Company,NYSE,25541013566.710583,Utilities
DTEA,DAVIDsTEA Inc.,NASDAQ,128653275.99605525,Consumer Non-Durables
DTIL,"Precision BioSciences, Inc.",NASDAQ,604693010.3730085,Health Technology
DTSS,Datasea Inc.,NASDAQ,53041120.35433071,Technology Services
DTST,Data Storage Corporation,NASDAQ,25712436.962566845,Technology Services
DUK,Duke Energy Corporation (Holding Company),NYSE,76621896556.62173,Utilities
DVA,DaVita Inc.,NYSE,12917105692.997652,Health Services
DVAX,Dynavax Technologies Corporation,NASDAQ,1023272720.8318584,Health Technology
DVN,Devon Energy Corporation,NYSE,18107075753.343605,Energy Minerals
DXC,DXC Technology Company,NYSE,9241848882.021378,Technology Services
DXCM,"DexCom, Inc.",NASDAQ,40451100221.761055,Health Technology
DXPE,"DXP Enterprises, Inc.",NASDAQ,558537362.2139837,Distribution Services
DXYN,"The Dixie Group, Inc.",NASDAQ,37036599,Consumer Durables
DY,"Dycom Industries, Inc.",NYSE,2173899097.021567,Industrial Services
DYAI,"Dyadic International, Inc.",NASDAQ,92306421.97674417,Health Technology
DYN,"Dyne Therapeutics, Inc.",NASDAQ,1100415488.0806303,Health Technology
DZSI,DZS Inc.,NASDAQ,579537783.2752335,Electronic Technology
EA,Electronic Arts Inc.,NASDAQ,40387299018.937225,Consumer Durables
EAF,GrafTech International Ltd.,NYSE,3129670452.4291778,Producer Manufacturing
EAR,"Eargo, Inc.",NASDAQ,1427644601.3773885,Health Technology
EARS,Auris Medical Holding Ltd.,NASDAQ,45295191.6,Health Technology
EAST,"Eastside Distilling, Inc.",NASDAQ,34619430.78694158,Commercial Services
EAT,"Brinker International, Inc.",NYSE,2539633492.687783,Consumer Services
EB,"Eventbrite, Inc.",NYSE,1805970334.7747052,Technology Services
EBAY,eBay Inc.,NASDAQ,43096609814.332466,Consumer Services
EBC,"Eastern Bankshares, Inc.",NASDAQ,3938729512.723106,Finance
EBF,"Ennis, Inc.",NYSE,537727619.0186915,Commercial Services
EBIX,"Ebix, Inc.",NASDAQ,1021292580.7978128,Finance
EBON,Ebang International Holdings Inc.,NASDAQ,801669320.9838709,Electronic Technology
EBS,"Emergent Biosolutions, Inc.",NYSE,3244600512.2092843,Health Technology
EBSB,"Meridian Bancorp, Inc.",NASDAQ,1022456091.607547,Finance
ECHO,"Echo Global Logistics, Inc.",NASDAQ,814781599.3370823,Transportation
ECL,Ecolab Inc.,NYSE,58620027934.75157,Process Industries
ECOL,"US Ecology, Inc.",NASDAQ,1154926661.557574,Industrial Services
ECOM,ChannelAdvisor Corporation,NYSE,692478086.8053095,Technology Services
ECPG,Encore Capital Group Inc,NASDAQ,1472657610.1831734,Finance
ED,"Consolidated Edison, Inc.",NYSE,26300318547.034214,Utilities
EDIT,"Editas Medicine, Inc.",NASDAQ,2433612617.190266,Health Technology
EDRY,EuroDry Ltd.,NASDAQ,68522996.35903005,Transportation
EDSA,"Edesa Biotech, Inc.",NASDAQ,73966016.96842106,Health Technology
EDTK,Skillful Craftsman Education Technology Limited,NASDAQ,26159998.96190476,Technology Services
EEFT,"Euronet Worldwide, Inc.",NASDAQ,7538934734.575864,Technology Services
EEIQ,Elite Education Group International Ltd.,NASDAQ,40833599.01467506,Commercial Services
EEX,"Emerald Holding, Inc.",NYSE,382126868.0036968,Commercial Services
EFOI,"Energy Focus, Inc.",NASDAQ,21291864.91400491,Producer Manufacturing
EFSC,Enterprise Financial Services Corporation,NASDAQ,1441062496.60533,Finance
EFX,"Equifax, Inc.",NYSE,28332347186.694557,Commercial Services
EGAN,eGain Corporation,NASDAQ,343022184.5561644,Technology Services
EGBN,"Eagle Bancorp, Inc.",NASDAQ,1729480857.0441766,Finance
EGHT,8x8 Inc,NYSE,2883564149.4144487,Technology Services
EGLE,Eagle Bulk Shipping Inc.,NASDAQ,631669269.0218978,Transportation
EGLX,Enthusiast Gaming Holdings Inc.,NASDAQ,672992489.8364964,Technology Services
EGO,Eldorado Gold Corporation,NYSE,1861704041.0455923,Non-Energy Minerals
EGRX,"Eagle Pharmaceuticals, Inc.",NASDAQ,562260749.1687386,Health Technology
EGY,"VAALCO Energy, Inc.",NYSE,181901958.19543976,Energy Minerals
EHC,Encompass Health Corporation,NYSE,7932534098.891092,Health Services
EHTH,"eHealth, Inc.",NASDAQ,1596909114.2049181,Finance
EIG,Employers Holdings Inc,NYSE,1171121133.7141519,Finance
EIGR,"Eiger BioPharmaceuticals, Inc.",NASDAQ,279419294.3908756,Health Technology
EIX,Edison International,NYSE,21089166611.233414,Utilities
EKSO,"Ekso Bionics Holdings, Inc.",NASDAQ,68463517.65760869,Health Technology
EL,"Estee Lauder Companies, Inc. (The)",NYSE,107260008559.64162,Consumer Non-Durables
ELA,Envela Corporation,NYSE ARCA,137584859.10496184,Retail Trade
ELAN,Elanco Animal Health Incorporated,NYSE,16401416461.366182,Process Industries
ELF,"e.l.f. Beauty, Inc.",NYSE,1418823139.79023,Consumer Non-Durables
ELMD,"Electromed, Inc.",NYSE ARCA,95875356.92087702,Health Technology
ELOX,"Eloxx Pharmaceuticals, Inc.",NASDAQ,179274341.99999997,Health Technology
ELSE,"Electro-Sensors, Inc.",NASDAQ,16029118.978354976,Producer Manufacturing
ELTK,Eltek Ltd.,NASDAQ,34837727.0851419,Electronic Technology
ELVT,"Elevate Credit, Inc.",NYSE,134787595.2222222,Finance
ELY,Callaway Golf Company,NYSE,5898421068.474873,Consumer Durables
ELYS,"Elys Game Technology, Corp.",NASDAQ,97949442.31900452,Consumer Services
EMAN,eMagin Corporation,NYSE ARCA,279688478.8197115,Electronic Technology
EME,"EMCOR Group, Inc.",NYSE,6460023972.332191,Industrial Services
EMKR,EMCORE Corporation,NASDAQ,358802884.9368104,Electronic Technology
EMN,Eastman Chemical Company,NYSE,15583321460.420624,Process Industries
EMPW,Empower Ltd.,NYSE,318125010,Finance
EMR,Emerson Electric Company,NYSE,55334318151.100296,Producer Manufacturing
EMX,EMX Royalty Corporation,NYSE ARCA,249230296.89430895,Non-Energy Minerals
ENB,Enbridge Inc,NYSE,80212828033.77226,Industrial Services
ENBL,"Enable Midstream Partners, LP",NYSE,3940229570.792536,Industrial Services
ENDP,Endo International plc,NASDAQ,1217853809.7391303,Health Technology
ENFA,"890 5th Avenue Partners, Inc.",NASDAQ,358705557.9755102,Finance
ENG,ENGlobal Corporation,NASDAQ,92747916.92988929,Industrial Services
ENLC,"EnLink Midstream, LLC",NYSE,2778617250.978583,Industrial Services
ENLV,Enlivex Therapeutics Ltd.,NASDAQ,147512453.89787233,Health Technology
ENOB,"Enochian Biosciences, Inc.",NASDAQ,277216513.4348562,Health Technology
ENPC,Executive Network Partnering Corporation,NYSE,420203067.018659,Finance
ENPH,"Enphase Energy, Inc.",NASDAQ,22505660518.36656,Electronic Technology
ENR,"Energizer Holdings, Inc.",NYSE,2908349263.9773045,Consumer Non-Durables
ENS,EnerSys,NYSE,4009920416.113511,Producer Manufacturing
ENSG,"The Ensign Group, Inc.",NASDAQ,4584021913.2440405,Health Services
ENTA,"Enanta Pharmaceuticals, Inc.",NASDAQ,923725233.3294371,Health Technology
ENTG,"Entegris, Inc.",NASDAQ,15886136200.496119,Electronic Technology
ENTX,Entera Bio Ltd.,NASDAQ,104924797.65703274,Health Technology
ENV,"Envestnet, Inc",NYSE,4205780182.8808928,Technology Services
ENVA,"Enova International, Inc.",NYSE,1229708418.9190283,Finance
ENVB,"Enveric Biosciences, Inc.",NASDAQ,45989122.82511211,Health Technology
ENVI,Environmental Impact Acquisition Corp.,NASDAQ,252798769,Finance
ENZ,"Enzo Biochem, Inc.",NYSE,141052858.7275862,Health Technology
EOG,"EOG Resources, Inc.",NYSE,46285720855.97666,Energy Minerals
EOLS,"Evolus, Inc. Common Stock",NASDAQ,691116389.2303414,Health Technology
EOSE,"Eos Energy Enterprises, Inc.",NASDAQ,1004426569.0942827,Finance
EPAC,Enerpac Tool Group Corp.,NYSE,1466339281.543908,Producer Manufacturing
EPAM,"EPAM Systems, Inc.",NYSE,28795759814.301357,Technology Services
EPAY,"Bottomline Technologies, Inc.",NASDAQ,1686612185.6208098,Technology Services
EPC,Edgewell Personal Care Company,NYSE,2339051764.661376,Consumer Non-Durables
EPD,Enterprise Products Partners L.P.,NYSE,52400578494.8062,Industrial Services
EPHY,Epiphany Technology Acquisition Corp.,NASDAQ,497835731,Finance
EPIX,ESSA Pharma Inc.,NASDAQ,1101201996.0986843,Health Technology
EPM,"Evolution Petroleum Corporation, Inc.",NYSE ARCA,161841004.03238866,Energy Minerals
EPWR,Empowerment & Inclusion Capital I Corp.,NYSE,334649997,Finance
EPZM,"Epizyme, Inc.",NASDAQ,875970455.6765038,Health Technology
EQ,"Equillium, Inc.",NASDAQ,171337586.55462185,Health Technology
EQD,Equity Distribution Acquisition Corp.,NYSE,505597539,Finance
EQH,"Equitable Holdings, Inc.",NYSE,12604066797.214285,Finance
EQOS,Diginex Limited,NASDAQ,254131454.55984554,Technology Services
EQT,EQT Corporation,NYSE,5398011254.554417,Energy Minerals
EQX,Equinox Gold Corp.,NYSE ARCA,2352149852.540488,Non-Energy Minerals
ERF,Enerplus Corporation,NYSE,1684286637.0839326,Energy Minerals
ERIE,Erie Indemnity Company,NASDAQ,8809250666.914162,Finance
ERII,"Energy Recovery, Inc.",NASDAQ,1152178373.7280195,Producer Manufacturing
ES,Eversource Energy (D/B/A),NYSE,27449815998.762608,Utilities
ESE,ESCO Technologies Inc.,NYSE,2339252596.157779,Electronic Technology
ESEA,Euroseas Ltd.,NASDAQ,167894466.35352698,Transportation
ESI,Element Solutions Inc.,NYSE,5716245808.745247,Process Industries
ESNT,Essent Group Ltd.,NYSE,5039917190.366904,Finance
ESPR,"Esperion Therapeutics, Inc.",NASDAQ,696909599.4868898,Health Technology
ESSC,East Stone Acquisition Corporation,NASDAQ,178451289.99008918,Finance
ESTA,Establishment Labs Holdings Inc.,NASDAQ,1851912871.7875001,Health Technology
ESTC,Elastic N.V.,NYSE,13034177903.829723,Technology Services
ESTE,"Earthstone Energy, Inc.",NYSE,857191513.0757718,Energy Minerals
ESXB,Community Bankers Trust Corporation.,NASDAQ,252672559.09948543,Finance
